periodo,anio,trimestre,ingresos,egresos,saldo,fuente,fecha_carga
2018T4,2018,4,775.9916448006684,377.0456984024682,398.9459463982002,INDEC_BDP_C01_ING_SEC,2026-06-08
2019T1,2019,1,596.6091504377762,312.0449760315308,284.5641744062454,INDEC_BDP_C01_ING_SEC,2026-06-08
2019T2,2019,2,741.3085121521252,645.0227443957149,96.28576775641034,INDEC_BDP_C01_ING_SEC,2026-06-08
2019T3,2019,3,576.5473755048897,352.2075528678723,224.3398226370174,INDEC_BDP_C01_ING_SEC,2026-06-08
2019T4,2019,4,614.1110188521911,370.16584369989874,243.9451751522924,INDEC_BDP_C01_ING_SEC,2026-06-08
2020T1,2020,1,530.7668667190379,265.9442849882531,264.8225817307848,INDEC_BDP_C01_ING_SEC,2026-06-08
2020T2,2020,2,630.7389227699819,238.5942896035516,392.14463316643025,INDEC_BDP_C01_ING_SEC,2026-06-08
2020T3,2020,3,590.9594083281504,315.66482726436226,275.29458106378814,INDEC_BDP_C01_ING_SEC,2026-06-08
2020T4,2020,4,594.0800153320824,426.817467266191,167.26254806589145,INDEC_BDP_C01_ING_SEC,2026-06-08
2021T1,2021,1,650.7006657251079,334.6442438750233,316.05642185008463,INDEC_BDP_C01_ING_SEC,2026-06-08
2021T2,2021,2,786.4896530364758,353.1030897149976,433.3865633214782,INDEC_BDP_C01_ING_SEC,2026-06-08
2021T3,2021,3,702.3168354657321,378.1576739725743,324.1591614931578,INDEC_BDP_C01_ING_SEC,2026-06-08
2021T4,2021,4,763.1580751909698,434.7147747595404,328.44330043142946,INDEC_BDP_C01_ING_SEC,2026-06-08
2022T1,2022,1,789.0378232326163,341.04003419108915,447.9977890415272,INDEC_BDP_C01_ING_SEC,2026-06-08
2022T2,2022,2,964.4192793260956,377.7255716501845,586.6937076759111,INDEC_BDP_C01_ING_SEC,2026-06-08
2022T3,2022,3,786.2058073772147,360.0931132400461,426.1126941371686,INDEC_BDP_C01_ING_SEC,2026-06-08
2022T4,2022,4,938.3449157555613,428.3671062735414,509.97780948201984,INDEC_BDP_C01_ING_SEC,2026-06-08
2023T1,2023,1,823.2843605493235,354.9041836630035,468.38017688632004,INDEC_BDP_C01_ING_SEC,2026-06-08
2023T2,2023,2,1008.7864626199233,377.8688266908076,630.9176359291157,INDEC_BDP_C01_ING_SEC,2026-06-08
2023T3,2023,3,802.0023758193531,315.47287432481437,486.52950149453875,INDEC_BDP_C01_ING_SEC,2026-06-08
2023T4,2023,4,831.758783458292,347.56446017491226,484.19432328337973,INDEC_BDP_C01_ING_SEC,2026-06-08
2024T1,2024,1,816.6178390324864,298.395147761317,518.2226912711694,INDEC_BDP_C01_ING_SEC,2026-06-08
2024T2,2024,2,1127.957938070607,329.10607035682233,798.8518677137847,INDEC_BDP_C01_ING_SEC,2026-06-08
2024T3,2024,3,821.6066861192621,448.37632080754,373.2303653117221,INDEC_BDP_C01_ING_SEC,2026-06-08
2024T4,2024,4,1125.2060817412598,504.9962653975837,620.209816343676,INDEC_BDP_C01_ING_SEC,2026-06-08
2025T1,2025,1,1024.4458519838317,993.8560309076192,30.589821076212502,INDEC_BDP_C01_ING_SEC,2026-06-08
2025T2,2025,2,1364.024915230742,468.62815621523015,895.3967590155119,INDEC_BDP_C01_ING_SEC,2026-06-08
2025T3,2025,3,1006.4317357969828,516.0737223283198,490.358013468663,INDEC_BDP_C01_ING_SEC,2026-06-08
2025T4,2025,4,1261.77677787787,484.6705657920049,777.1062120858651,INDEC_BDP_C01_ING_SEC,2026-06-08
